Sample,I,Q
1323,7208,-3656
1324,7196,-3660
1325,7216,-3652
1326,7220,-3636
1327,7200,-3684
1328,7208,-3652
1329,7208,-3660
1330,7192,-3676
1331,7224,-3672
1332,7236,-3616
1333,7216,-3656
1334,7232,-3644
1335,7236,-3600
1336,7256,-3660
1337,7224,-3612
1338,7220,-3636
1339,7256,-3624
1340,7228,-3624
1341,7232,-3644
1342,7252,-3608
1343,7228,-3616
1344,7260,-3640
1345,7228,-3616
1346,7224,-3616
1347,7260,-3596
1348,7208,-3620
1349,7244,-3620
1350,7240,-3588
1351,7240,-3612
1352,7260,-3592
1353,7252,-3596
1354,7276,-3576
1355,7276,-3580
1356,7292,-3564
1357,7280,-3568
1358,7280,-3572
1359,7280,-3528
1360,7328,-3560
1361,7292,-3544
1362,7288,-3544
1363,7324,-3556
1364,7272,-3540
1365,7320,-3560
1366,7280,-3556
1367,7312,-3528
1368,7312,-3556
1369,7276,-3512
1370,7356,-3512
1371,7288,-3548
1372,7312,-3516
1373,7324,-3520
1374,7300,-3508
1375,7332,-3532
1376,7296,-3500
1377,7312,-3508
1378,7336,-3536
1379,7296,-3516
1380,7332,-3516
1381,7344,-3492
1382,7328,-3496
1383,7340,-3508
1384,7340,-3500
1385,7336,-3508
1386,7332,-3492
1387,7332,-3508
1388,7336,-3496
1389,7340,-3508
1390,7316,-3516
1391,7352,-3488
1392,7336,-3496
1393,7328,-3484
1394,7340,-3500
1395,7352,-3476
1396,7368,-3464
1397,7360,-3468
1398,7376,-3464
1399,7352,-3464
1400,7360,-3452
1401,7360,-3496
1402,7356,-3448
1403,7376,-3476
1404,7372,-3468
1405,7376,-3436
1406,7372,-3484
1407,7376,-3444
1408,7380,-3456
1409,7376,-3468
1410,7368,-3424
1411,7392,-3460
1412,7404,-3416
1413,7376,-3424
1414,7412,-3420
1415,7392,-3392
1416,7396,-3420
1417,7428,-3392
1418,7432,-3376
1419,7428,-3396
1420,7424,-3396
1421,7440,-3396
1422,7424,-3356
1423,7440,-3396
1424,7440,-3388
1425,7436,-3344
1426,7464,-3388
1427,7432,-3356
1428,7448,-3364
1429,7460,-3356
1430,7452,-3356
1431,7460,-3336
1432,7456,-3360
1433,7452,-3364
1434,7456,-3340
1435,7464,-3384
1436,7448,-3364
1437,7440,-3372
1438,7452,-3372
1439,7472,-3344
1440,7456,-3376
1441,7436,-3356
1442,7456,-3344
1443,7424,-3380
1444,7456,-3372
1445,7444,-3364
1446,7444,-3368
1447,7436,-3372
1448,7452,-3336
1449,7460,-3380
1450,7436,-3404
1451,7428,-3340
1452,7444,-3376
1453,7452,-3360
1454,7428,-3376
1455,7440,-3380
1456,7424,-3360
1457,7436,-3408
1458,7432,-3360
1459,7448,-3392
1460,7428,-3400
1461,7424,-3356
1462,7444,-3412
1463,7424,-3376
1464,7436,-3380
1465,7420,-3412
1466,7420,-3380
1467,7428,-3420
1468,7416,-3380
1469,7420,-3424
1470,7396,-3404
1471,7432,-3404
1472,7412,-3444
1473,7376,-3408
1474,7412,-3440
1475,7416,-3408
1476,7400,-3412
1477,7404,-3428
1478,7404,-3420
1479,7420,-3432
1480,7400,-3412
1481,7424,-3416
1482,7416,-3396
1483,7408,-3392
1484,7440,-3400
1485,7408,-3388
1486,7424,-3420
1487,7424,-3384
1488,7420,-3400
1489,7416,-3420
1490,7424,-3404
1491,7424,-3388
1492,7420,-3404
1493,7416,-3408
1494,7420,-3388
1495,7412,-3404
